State,District,Total Main Worker,Total Marginal Workers (<3 months),Total Marginal Workers (3 - 6 months),Total Workers Seeking/Available for Work,Total Working Population
ANDHRA PRADESH,Adilabad,1066460,33139,224068,139900,1463567
ANDHRA PRADESH,Nizamabad,1055965,31337,173774,98393,1359469
ANDHRA PRADESH,Karimnagar,1590304,39042,247422,134340,2011108
ANDHRA PRADESH,Medak,1195494,39959,206750,122428,1564631
ANDHRA PRADESH,Hyderabad,1096081,22835,294381,114670,1527967
ANDHRA PRADESH,Rangareddy,1834777,37914,323387,128020,2324098
ANDHRA PRADESH,Mahbubnagar,1815643,27545,239313,137020,2219521
ANDHRA PRADESH,Nalgonda,1493419,32162,216112,117821,1859514
ANDHRA PRADESH,Warangal,1442197,30007,233451,125989,1831644
ANDHRA PRADESH,Khammam,1215871,25006,169185,94583,1504645
ANDHRA PRADESH,Srikakulam,936244,59441,294603,214213,1504501
ANDHRA PRADESH,Vizianagaram,953215,27293,177454,104344,1262306
ANDHRA PRADESH,Visakhapatnam,1481139,63680,345060,206218,2096097
ANDHRA PRADESH,East Godavari,1748117,57912,287652,161972,2255653
ANDHRA PRADESH,West Godavari,1534166,40054,198892,100628,1873740
ANDHRA PRADESH,Krishna,1744978,37850,266052,124507,2173387
ANDHRA PRADESH,Guntur,2106326,31809,243489,109399,2491023
ANDHRA PRADESH,Prakasam,1463508,26760,210299,103685,1804252
ANDHRA PRADESH,Sri Potti Sriramulu Nellore,1076544,34620,203397,91789,1406350
ANDHRA PRADESH,Y.S.R.,1079903,35516,204985,94083,1414487
ANDHRA PRADESH,Kurnool,1757520,27244,244661,135004,2164429
ANDHRA PRADESH,Anantapur,1679655,39310,317201,154313,2190479
ANDHRA PRADESH,Chittoor,1669852,37669,225836,88865,2022222
