State,District,Total Main Worker,Total Marginal Workers (<3 months),Total Marginal Workers (3 - 6 months),Total Workers Seeking/Available for Work,Total Working Population
ARUNACHAL PRADESH,Tawang,24430,516,3615,2394,30955
ARUNACHAL PRADESH,West Kameng,34752,1469,6272,3044,45537
ARUNACHAL PRADESH,East Kameng,27123,551,4036,2025,33735
ARUNACHAL PRADESH,Papum Pare,51157,1961,12654,6455,72227
ARUNACHAL PRADESH,Upper Subansiri,25717,1116,6537,3419,36789
ARUNACHAL PRADESH,West Siang,43000,1441,4736,2120,51297
ARUNACHAL PRADESH,East Siang,33578,1483,5161,2245,42467
ARUNACHAL PRADESH,Upper Siang,14524,769,2351,1399,19043
ARUNACHAL PRADESH,Changlang,50765,2529,9672,2946,65912
ARUNACHAL PRADESH,Tirap,44262,1320,4587,2404,52573
ARUNACHAL PRADESH,Lower Subansiri,22669,1343,6190,3685,33887
ARUNACHAL PRADESH,Kurung Kumey,24372,2574,11098,6286,44330
ARUNACHAL PRADESH,Dibang Valley,2525,251,779,603,4158
ARUNACHAL PRADESH,Lower Dibang Valley,19829,361,2136,1466,23792
ARUNACHAL PRADESH,Lohit,50754,1610,8581,3555,64500
ARUNACHAL PRADESH,Anjaw,9264,337,900,271,10772
