State,District,Total Main Worker,Total Marginal Workers (<3 months),Total Marginal Workers (3 - 6 months),Total Workers Seeking/Available for Work,Total Working Population
ASSAM,Kokrajhar,253110,11841,76180,31426,372557
ASSAM,Dhubri,504998,35678,129143,91730,761549
ASSAM,Goalpara,266376,14634,81563,43576,406149
ASSAM,Barpeta,439453,24046,98325,63558,625382
ASSAM,Morigaon,260968,12556,77624,37453,388601
ASSAM,Nagaon,734993,42003,203002,113248,1093246
ASSAM,Sonitpur,558325,36921,175360,92719,863325
ASSAM,Lakhimpur,283533,24751,121711,52450,482445
ASSAM,Dhemaji,201364,20964,94472,43270,360070
ASSAM,Tinsukia,410188,23417,123591,66004,623200
ASSAM,Dibrugarh,391597,31025,137935,83780,644337
ASSAM,Sivasagar,318950,38121,128646,84349,570066
ASSAM,Jorhat,338635,31765,128218,72564,571182
ASSAM,Golaghat,331210,29135,119583,61184,541112
ASSAM,Karbi Anglong,260482,25363,97596,41567,425008
ASSAM,Dima Hasao,68297,2879,13852,6380,91408
ASSAM,Cachar,471259,20981,115822,80315,688377
ASSAM,Karimganj,293392,19609,86170,61213,460384
ASSAM,Hailakandi,165193,8824,40223,27643,241883
ASSAM,Bongaigaon,191671,13851,50284,31576,287382
ASSAM,Chirang,139027,8446,46421,19834,213728
ASSAM,Kamrup,421244,39753,167957,91731,720685
ASSAM,Kamrup Metropolitan,413154,9357,68421,37137,528069
ASSAM,Nalbari,196773,11869,58981,41280,308903
ASSAM,Baksa,278297,19685,108774,52197,458953
ASSAM,Darrang,241456,15813,67574,39216,364059
ASSAM,Udalguri,253178,12050,79802,36944,381974
