State,District,Total Main Worker,Total Marginal Workers (<3 months),Total Marginal Workers (3 - 6 months),Total Workers Seeking/Available for Work,Total Working Population
BIHAR,Pashchim Champaran,797544,116312,565091,349482,1828429
BIHAR,Purba Champaran,1132789,104290,500460,288463,2026002
BIHAR,Sheohar,137804,14097,64471,39205,255577
BIHAR,Sitamarhi,753645,57858,303080,188319,1302902
BIHAR,Madhubani,1074091,116333,446514,277592,1914530
BIHAR,Supaul,472649,70088,334945,198727,1076409
BIHAR,Araria,696410,65657,307826,179010,1248903
BIHAR,Kishanganj,384416,26055,118593,67588,596652
BIHAR,Purnia,776385,63956,302977,207758,1351076
BIHAR,Katihar,667602,65497,280467,196769,1210335
BIHAR,Madhepura,443507,54321,279718,172719,950265
BIHAR,Saharsa,363326,51083,235489,166966,816864
BIHAR,Darbhanga,731347,84821,407472,276706,1500346
BIHAR,Muzaffarpur,910304,107356,529926,383143,1930729
BIHAR,Gopalganj,363111,80876,284214,168886,897087
BIHAR,Siwan,462104,103950,366362,232121,1164537
BIHAR,Saran,545520,97786,396925,256927,1297158
BIHAR,Vaishali,716006,53128,291210,182386,1242730
BIHAR,Samastipur,907433,68428,367539,248831,1592231
BIHAR,Begusarai,591811,56485,289886,204183,1142365
BIHAR,Khagaria,306283,43401,211121,145508,706313
BIHAR,Bhagalpur,534129,95132,354267,275670,1259198
BIHAR,Banka,374097,91257,305726,208230,979310
BIHAR,Munger,233402,38442,154814,113983,540641
BIHAR,Lakhisarai,201866,21579,103131,71864,398440
BIHAR,Sheikhpura,148002,13979,62674,35030,259685
BIHAR,Nalanda,740949,47722,256749,148131,1193551
BIHAR,Patna,1371267,75793,434826,268887,2150773
BIHAR,Bhojpur,512009,60700,249784,154883,977376
BIHAR,Buxar,328547,44210,165565,99043,637365
BIHAR,Kaimur (Bhabua),284646,46799,179718,108927,620090
BIHAR,Rohtas,542439,88093,294347,189975,1114854
BIHAR,Aurangabad,480286,67737,289747,181077,1018847
BIHAR,Gaya,1007057,111128,545877,311301,1975363
BIHAR,Nawada,508509,56095,252437,137151,954192
BIHAR,Jamui,445352,50758,231461,123714,851285
BIHAR,Jehanabad ,251690,18354,95334,55076,420454
BIHAR,Arwal,161277,12956,62121,38107,274461
