State,District,Total Main Worker,Total Marginal Workers (<3 months),Total Marginal Workers (3 - 6 months),Total Workers Seeking/Available for Work,Total Working Population
CHHATTISGARH,Koriya,173057,30232,103782,61584,368655
CHHATTISGARH,Surguja,622589,103302,429916,210816,1366623
CHHATTISGARH,Jashpur ,291349,53121,142890,79587,566947
CHHATTISGARH,Raigarh,484875,38022,167270,87962,778129
CHHATTISGARH,Korba ,350314,26753,144119,94478,615664
CHHATTISGARH,Janjgir - Champa,461887,104294,280285,180137,1026603
CHHATTISGARH,Bilaspur,826568,75910,300719,218187,1421384
CHHATTISGARH,Kabeerdham,316976,12191,74989,62933,467089
CHHATTISGARH,Rajnandgaon,595959,38382,165751,113449,913541
CHHATTISGARH,Durg,1206793,47949,242063,157057,1653862
CHHATTISGARH,Raipur,1259138,77292,421234,302569,2060233
CHHATTISGARH,Mahasamund,340802,23819,134639,77998,577258
CHHATTISGARH,Dhamtari ,335368,13977,53550,37055,439950
CHHATTISGARH,Uttar Bastar Kanker,285536,17579,86244,57371,446730
CHHATTISGARH,Bastar,394824,68868,262839,177722,904253
CHHATTISGARH,Narayanpur,42056,5431,23602,13883,84972
CHHATTISGARH,Dakshin Bastar Dantewada,184285,14088,88222,52864,339459
CHHATTISGARH,Bijapur,69338,9341,55846,28988,163513
