State,District,Total Main Worker,Total Marginal Workers (<3 months),Total Marginal Workers (3 - 6 months),Total Workers Seeking/Available for Work,Total Working Population
GUJARAT,Kachchh,686937,13915,75376,20054,796282
GUJARAT,Banas Kantha,1012080,20027,216493,39098,1287698
GUJARAT,Patan  ,446240,10890,97700,21903,576733
GUJARAT,Mahesana,698768,9887,103409,20258,832322
GUJARAT,Sabar Kantha,795096,36400,253382,78822,1163700
GUJARAT,Gandhinagar,451951,8835,74190,19960,554936
GUJARAT,Ahmadabad,2332409,29261,233282,71104,2666056
GUJARAT,Surendranagar,586364,16373,120763,36727,760227
GUJARAT,Rajkot,1324783,18936,135331,23265,1502315
GUJARAT,Jamnagar,721253,14885,111302,21888,869328
GUJARAT,Porbandar ,195437,4554,31178,8001,239170
GUJARAT,Junagadh,942709,23569,157431,27072,1150781
GUJARAT,Amreli,529153,18904,109082,18345,675484
GUJARAT,Bhavnagar,992140,17043,141449,31365,1181997
GUJARAT,Anand  ,690031,14809,139954,37760,882554
GUJARAT,Kheda,722134,17100,194749,51389,985372
GUJARAT,Panch Mahals,685141,32558,379808,112532,1210039
GUJARAT,Dohad  ,553395,47570,398159,144306,1143430
GUJARAT,Vadodara,1360660,32519,300294,80668,1774141
GUJARAT,Narmada,193916,9299,91580,35862,330657
GUJARAT,Bharuch,526541,12580,88003,28720,655844
GUJARAT,The Dangs,88038,2768,27451,9878,128135
GUJARAT,Navsari  ,510004,8842,72988,20819,612653
GUJARAT,Valsad,577327,23876,142042,47527,790772
GUJARAT,Surat,2405288,16497,131757,30271,2583813
GUJARAT,Tapi,337579,9946,103377,32251,483153
