State,District,Total Main Worker,Total Marginal Workers (<3 months),Total Marginal Workers (3 - 6 months),Total Workers Seeking/Available for Work,Total Working Population
HARYANA,Panchkula,182831,5863,22785,12480,223959
HARYANA,Ambala,319475,7620,45044,26381,398520
HARYANA,Yamunanagar,339024,9513,40696,26294,415527
HARYANA,Kurukshetra,285904,11692,39184,24020,360800
HARYANA,Kaithal,290663,18539,64697,43737,417636
HARYANA,Karnal,411533,18703,85826,60562,576624
HARYANA,Panipat,339016,14466,58836,31645,443963
HARYANA,Sonipat,396763,25027,101389,56699,579878
HARYANA,Jind,385851,29820,107751,50196,573618
HARYANA,Fatehabad,286258,18916,63909,35696,404779
HARYANA,Sirsa,399169,20934,81900,41973,543976
HARYANA,Hisar,531227,34106,126288,62377,753998
HARYANA,Bhiwani,445675,36517,140814,68222,691228
HARYANA,Rohtak,288949,9059,47959,25968,371935
HARYANA,Jhajjar,246457,15415,64662,34769,361303
HARYANA,Mahendragarh,212402,33773,92409,50756,389340
HARYANA,Rewari,250219,22927,64581,31697,369424
HARYANA,Gurgaon,487441,10650,46625,21387,566103
HARYANA,Mewat ,204178,16274,69512,39107,329071
HARYANA,Faridabad,495316,10707,73206,33898,613127
HARYANA,Palwal ,216932,20178,72453,41780,351343
