State,District,Total Main Worker,Total Marginal Workers (<3 months),Total Marginal Workers (3 - 6 months),Total Workers Seeking/Available for Work,Total Working Population
HIMACHAL PRADESH,Chamba,119632,60903,113500,78804,372839
HIMACHAL PRADESH,Kangra,313915,122478,238777,144516,819686
HIMACHAL PRADESH,Lahul & Spiti,15190,1361,2744,1962,21257
HIMACHAL PRADESH,Kullu,193876,31445,43763,30538,299622
HIMACHAL PRADESH,Mandi,284154,85336,203181,141689,714360
HIMACHAL PRADESH,Hamirpur,126153,37054,78724,36286,278217
HIMACHAL PRADESH,Una,134482,22465,58399,29115,244461
HIMACHAL PRADESH,Bilaspur,103406,28891,73574,42250,248121
HIMACHAL PRADESH,Solan,219235,21478,58024,28093,326830
HIMACHAL PRADESH,Sirmaur,193906,28168,58009,22943,303026
HIMACHAL PRADESH,Shimla,311770,28732,90424,47544,478470
HIMACHAL PRADESH,Kinnaur,46782,3550,5941,3937,60210
