State,District,Total Main Worker,Total Marginal Workers (<3 months),Total Marginal Workers (3 - 6 months),Total Workers Seeking/Available for Work,Total Working Population
JAMMU & KASHMIR,Kupwara,123837,30131,75096,69822,298886
JAMMU & KASHMIR,Badgam,132003,20790,62073,51316,266182
JAMMU & KASHMIR,Leh(Ladakh),57125,1711,16243,5863,80942
JAMMU & KASHMIR,Kargil,28941,7404,15528,13109,64982
JAMMU & KASHMIR,Punch,73247,26730,61416,40867,202260
JAMMU & KASHMIR,Rajouri,130377,57512,103023,63491,354403
JAMMU & KASHMIR,Kathua,142847,13550,44034,26750,227181
JAMMU & KASHMIR,Baramula,187959,28728,87513,68766,372966
JAMMU & KASHMIR,Bandipore,75173,22270,51874,36445,185762
JAMMU & KASHMIR,Srinagar,330547,9452,67189,43435,450623
JAMMU & KASHMIR,Ganderbal,52949,15000,32941,29915,130805
JAMMU & KASHMIR,Pulwama,98306,32644,57470,49614,238034
JAMMU & KASHMIR,Shupiyan,54703,8869,24149,16582,104303
JAMMU & KASHMIR,Anantnag,176800,80976,131908,114798,504482
JAMMU & KASHMIR,Kulgam,77812,29728,52450,37630,197620
JAMMU & KASHMIR,Doda,79377,21271,51264,32923,184835
JAMMU & KASHMIR,Ramban,52051,8287,26874,18186,105398
JAMMU & KASHMIR,Kishtwar,44718,11429,26827,22392,105366
JAMMU & KASHMIR,Udhampur,152442,17357,73873,27670,271342
JAMMU & KASHMIR,Reasi,88462,11349,44956,13860,158627
JAMMU & KASHMIR,Jammu,410344,17698,80580,43912,552534
JAMMU & KASHMIR,Samba,74129,4111,14286,9455,101981
