State,District,Total Main Worker,Total Marginal Workers (<3 months),Total Marginal Workers (3 - 6 months),Total Workers Seeking/Available for Work,Total Working Population
JHARKHAND,Garhwa ,175126,98423,297882,242129,813560
JHARKHAND,Chatra,195502,32360,169828,117096,514786
JHARKHAND,Kodarma,143324,28741,85353,46137,303555
JHARKHAND,Giridih,412912,157212,466153,293263,1329540
JHARKHAND,Deoghar,297146,51538,202783,139661,691128
JHARKHAND,Godda,235735,75188,241268,189330,741521
JHARKHAND,Sahibganj,322572,34060,133570,81691,571893
JHARKHAND,Pakur,252017,27031,125536,80349,484933
JHARKHAND,Dhanbad,546714,64514,233276,175043,1019547
JHARKHAND,Bokaro,380304,74855,230209,189997,875365
JHARKHAND,Lohardaga,103001,29166,89165,58624,279956
JHARKHAND,Purbi Singhbhum,529578,60336,247253,168930,1006097
JHARKHAND,Palamu,283702,102484,326989,264044,977219
JHARKHAND,Latehar,117311,39967,156101,120098,433477
JHARKHAND,Hazaribagh,327316,60580,266740,184314,838950
JHARKHAND,Ramgarh,221112,19894,71119,52279,364404
JHARKHAND,Dumka,237479,79387,307913,221668,846447
JHARKHAND,Jamtara,122434,39577,164620,130920,457551
JHARKHAND,Ranchi,756176,68665,318026,196676,1339543
JHARKHAND,Khunti,153087,17480,89417,48713,308697
JHARKHAND,Gumla,278931,40419,168158,103592,591100
JHARKHAND,Simdega,155510,19935,113200,63706,352351
JHARKHAND,Pashchimi Singhbhum,343008,66108,285747,187436,882299
JHARKHAND,Saraikela-Kharsawan,228598,38220,163233,110767,540818
