State,District,Total Main Worker,Total Marginal Workers (<3 months),Total Marginal Workers (3 - 6 months),Total Workers Seeking/Available for Work,Total Working Population
KARNATAKA,Belgaum,1734501,47718,323449,75008,2180676
KARNATAKA,Bagalkot ,676407,14738,126936,41172,859253
KARNATAKA,Bijapur,760083,19656,147983,53366,981088
KARNATAKA,Bidar,551763,17815,133030,54184,756792
KARNATAKA,Raichur,725985,20273,157155,58886,962299
KARNATAKA,Koppal,508089,17707,128970,44588,699354
KARNATAKA,Gadag,423451,7193,65078,17609,513331
KARNATAKA,Dharwad,690948,13984,79901,22311,807144
KARNATAKA,Uttara Kannada,498304,24073,86149,29941,638467
KARNATAKA,Haveri,601951,11962,116153,30921,760987
KARNATAKA,Bellary,969388,14882,132610,34201,1151081
KARNATAKA,Chitradurga,667479,25558,163550,43356,899943
KARNATAKA,Davanagere,705099,21241,148867,39044,914251
KARNATAKA,Shimoga,652789,17489,110320,30391,810989
KARNATAKA,Udupi,459446,6106,47689,9545,522786
KARNATAKA,Chikmagalur,480229,10016,75529,18335,584109
KARNATAKA,Tumkur,1078431,30111,246104,55878,1410524
KARNATAKA,Bangalore,3858342,38597,349988,97528,4344455
KARNATAKA,Mandya,714901,19338,137169,25967,897375
KARNATAKA,Hassan,752387,16315,134878,27051,930631
KARNATAKA,Dakshina Kannada,914476,13673,69572,14062,1011783
KARNATAKA,Kodagu,258753,3496,16689,3839,282777
KARNATAKA,Mysore,1082108,30162,201998,49286,1363554
KARNATAKA,Chamarajanagar,381408,12112,88173,26618,508311
KARNATAKA,Gulbarga,844237,29076,213715,80876,1167904
KARNATAKA,Yadgir,437241,11007,99448,31967,579663
KARNATAKA,Kolar,584590,16506,116776,33350,751222
KARNATAKA,Chikkaballapura,535565,13295,90918,23285,663063
KARNATAKA,Bangalore Rural,389989,9503,60399,16380,476271
KARNATAKA,Ramanagara,458841,10167,62451,15339,546798
