State,District,Total Main Worker,Total Marginal Workers (<3 months),Total Marginal Workers (3 - 6 months),Total Workers Seeking/Available for Work,Total Working Population
KERALA,Kasaragod,372700,18584,71714,40131,503129
KERALA,Kannur,694209,24417,105490,59086,883202
KERALA,Wayanad,263445,18087,58545,36904,376981
KERALA,Kozhikode,754187,50794,144000,99674,1048655
KERALA,Malappuram,852047,40242,170135,113097,1175521
KERALA,Palakkad,875540,25466,141334,74874,1117214
KERALA,Thrissur,929506,31475,134746,73895,1169622
KERALA,Ernakulam,1061388,35640,152315,86094,1335437
KERALA,Idukki ,415947,20024,80392,43843,560206
KERALA,Kottayam,604553,25459,105723,63190,798925
KERALA,Alappuzha,596387,42038,166046,98001,902472
KERALA,Pathanamthitta,293257,19247,80290,46433,439227
KERALA,Kollam,695299,39988,176738,107366,1019391
KERALA,Thiruvananthapuram,921282,69652,240735,174083,1405752
