State,District,Total Main Worker,Total Marginal Workers (<3 months),Total Marginal Workers (3 - 6 months),Total Workers Seeking/Available for Work,Total Working Population
MADHYA PRADESH,Sheopur ,196189,12215,69051,40209,317664
MADHYA PRADESH,Morena,520970,25340,129683,57533,733526
MADHYA PRADESH,Bhind,422111,15494,83163,48878,569646
MADHYA PRADESH,Gwalior,559845,21934,103532,54925,740236
MADHYA PRADESH,Datia,247229,10609,63322,25300,346460
MADHYA PRADESH,Shivpuri,577723,25942,155616,62021,821302
MADHYA PRADESH,Tikamgarh,470432,25418,159468,79107,734425
MADHYA PRADESH,Chhatarpur,553862,33576,164359,95443,847240
MADHYA PRADESH,Panna,276633,33227,122138,84918,516916
MADHYA PRADESH,Sagar,779093,35778,191164,107362,1113397
MADHYA PRADESH,Damoh,389993,32803,151799,99514,674109
MADHYA PRADESH,Satna,612510,54905,243934,147853,1059202
MADHYA PRADESH,Rewa,630251,67737,293958,162121,1154067
MADHYA PRADESH,Umaria,138600,39167,111924,91590,381281
MADHYA PRADESH,Neemuch ,358500,8784,51398,29591,448273
MADHYA PRADESH,Mandsaur,535066,18509,126148,54685,734408
MADHYA PRADESH,Ratlam,471139,29789,190052,124718,815698
MADHYA PRADESH,Ujjain,682115,36145,179182,95984,993426
MADHYA PRADESH,Shajapur,508833,31055,177983,92157,810028
MADHYA PRADESH,Dewas,528526,45001,169149,72361,815037
MADHYA PRADESH,Dhar,783019,33482,211473,119704,1147678
MADHYA PRADESH,Indore,1137251,17404,113540,55774,1323969
MADHYA PRADESH,Khargone (West Nimar),756735,19359,118025,67635,961754
MADHYA PRADESH,Barwani ,525791,16483,111623,60234,714131
MADHYA PRADESH,Rajgarh,471773,42367,231463,136735,882338
MADHYA PRADESH,Vidisha,397283,32920,120199,77006,627408
MADHYA PRADESH,Bhopal,706036,24916,136505,80830,948287
MADHYA PRADESH,Sehore,372150,46276,167661,89798,675885
MADHYA PRADESH,Raisen,370241,29784,117813,77432,595270
MADHYA PRADESH,Betul,511287,61218,214475,144231,931211
MADHYA PRADESH,Harda ,163781,14753,52445,34236,265215
MADHYA PRADESH,Hoshangabad,361648,22991,93443,63573,541655
MADHYA PRADESH,Katni ,316144,49962,177768,137554,681428
MADHYA PRADESH,Jabalpur,744287,48595,212742,160959,1166583
MADHYA PRADESH,Narsimhapur,358203,18123,101492,69608,547426
MADHYA PRADESH,Dindori ,250137,30451,109337,79707,469632
MADHYA PRADESH,Mandla,325159,42475,192015,150164,709813
MADHYA PRADESH,Chhindwara,673845,52145,231994,160154,1118138
MADHYA PRADESH,Seoni,397575,51821,235038,170143,854577
MADHYA PRADESH,Balaghat,530506,63114,299394,209464,1102478
MADHYA PRADESH,Guna,353671,26457,134769,60804,575701
MADHYA PRADESH,Ashoknagar,241288,13591,60391,34284,349554
MADHYA PRADESH,Shahdol,240811,46519,205727,159892,652949
MADHYA PRADESH,Anuppur,227040,24265,95166,65726,412197
MADHYA PRADESH,Sidhi,275482,37949,148329,89663,551423
MADHYA PRADESH,Singrauli,348393,20199,130847,55636,555075
MADHYA PRADESH,Jhabua,370641,28731,115749,80180,595301
MADHYA PRADESH,Alirajpur,265029,18612,83156,48316,415113
MADHYA PRADESH,Khandwa (East Nimar),492393,18143,102440,59769,672745
MADHYA PRADESH,Burhanpur,274900,5955,47484,28570,356909
