State,District,Total Main Worker,Total Marginal Workers (<3 months),Total Marginal Workers (3 - 6 months),Total Workers Seeking/Available for Work,Total Working Population
MAHARASHTRA,Nandurbar,664193,12932,114940,49833,841898
MAHARASHTRA,Dhule,825875,13769,96726,29913,966283
MAHARASHTRA,Jalgaon,1643955,28944,190672,79254,1942825
MAHARASHTRA,Buldana,1107542,14147,97952,40851,1260492
MAHARASHTRA,Akola,691025,10597,66532,32588,800742
MAHARASHTRA,Washim,502755,7346,59691,33025,602817
MAHARASHTRA,Amravati,1061544,26619,148159,80986,1317308
MAHARASHTRA,Wardha,529623,12506,66106,34133,642368
MAHARASHTRA,Nagpur,1654778,32089,181693,94718,1963278
MAHARASHTRA,Bhandara,413838,26370,157097,107438,704743
MAHARASHTRA,Gondiya,433962,34816,196641,116722,782141
MAHARASHTRA,Gadchiroli,392886,28333,163018,106396,690633
MAHARASHTRA,Chandrapur,804433,38903,214836,149037,1207209
MAHARASHTRA,Yavatmal,1195100,20608,140291,71878,1427877
MAHARASHTRA,Nanded,1317791,19243,156919,71968,1565921
MAHARASHTRA,Hingoli,514371,6274,48537,19529,588711
MAHARASHTRA,Parbhani,756417,8306,58074,21670,844467
MAHARASHTRA,Jalna,844492,12201,74193,27052,957938
MAHARASHTRA,Aurangabad,1446636,22474,105969,41947,1617026
MAHARASHTRA,Nashik,2523023,34127,206178,72272,2835600
MAHARASHTRA,Thane,3930511,79842,482414,195235,4688002
MAHARASHTRA,Mumbai Suburban,3515922,35816,183283,63333,3798354
MAHARASHTRA,Mumbai,1209334,11398,63664,22144,1306540
MAHARASHTRA,Raigarh,858825,35918,178226,83182,1156151
MAHARASHTRA,Pune,3751221,42243,255529,83536,4132529
MAHARASHTRA,Ahmadnagar,2039455,24095,141040,52852,2257442
MAHARASHTRA,Bid,1154708,15113,85727,35300,1290848
MAHARASHTRA,Latur,964177,9952,72728,22450,1069307
MAHARASHTRA,Osmanabad,701894,9287,62735,25553,799469
MAHARASHTRA,Solapur,1763175,18958,116262,42001,1940396
MAHARASHTRA,Satara,1184407,27024,143516,45208,1400155
MAHARASHTRA,Ratnagiri,554973,39330,119773,51894,765970
MAHARASHTRA,Sindhudurg,226538,27236,93404,47853,395031
MAHARASHTRA,Kolhapur,1508563,28492,166999,44694,1748748
MAHARASHTRA,Sangli,1074948,21432,118724,34995,1250099
