State,District,Total Main Worker,Total Marginal Workers (<3 months),Total Marginal Workers (3 - 6 months),Total Workers Seeking/Available for Work,Total Working Population
NAGALAND,Mon,104981,17445,25228,11500,159154
NAGALAND,Mokokchung,81046,5564,13457,7303,107370
NAGALAND,Zunheboto,49382,16639,13445,7307,86773
NAGALAND,Wokha,63512,4918,9982,5125,83537
NAGALAND,Dimapur ,122358,6006,22986,10502,161852
NAGALAND,Phek,63645,6274,10358,6056,86333
NAGALAND,Tuensang,73518,10570,14066,5299,103453
NAGALAND,Longleng,20944,4896,4728,2226,32794
NAGALAND,Kiphire,25830,1511,4618,1286,33245
NAGALAND,Kohima,99408,4720,10697,5835,120660
NAGALAND,Peren,36555,12422,12413,7642,69032
