State,District,Total Main Worker,Total Marginal Workers (<3 months),Total Marginal Workers (3 - 6 months),Total Workers Seeking/Available for Work,Total Working Population
ODISHA,Bargarh,474390,47779,239923,131880,893972
ODISHA,Jharsuguda,172069,13469,62169,37586,285293
ODISHA,Sambalpur,336854,26408,142578,80051,585891
ODISHA,Debagarh,83408,16157,65870,47667,213102
ODISHA,Sundargarh,535112,71406,266709,176309,1049536
ODISHA,Kendujhar,442497,61595,262422,188574,955088
ODISHA,Mayurbhanj,548390,136879,538265,413737,1637271
ODISHA,Baleshwar,618064,77051,237592,130319,1063026
ODISHA,Bhadrak,328097,26277,114225,76012,544611
ODISHA,Kendrapara ,322265,26508,118117,68727,535617
ODISHA,Jagatsinghapur ,290170,17034,96445,51877,455526
ODISHA,Cuttack,696274,44289,195802,114380,1050745
ODISHA,Jajapur  ,407564,22523,122147,78552,630786
ODISHA,Dhenkanal,277338,28230,129965,91079,526612
ODISHA,Anugul  ,317547,41683,167290,119492,646012
ODISHA,Nayagarh  ,229076,21009,93548,65897,409530
ODISHA,Khordha ,632625,23925,135643,82553,874746
ODISHA,Puri,450536,31100,140040,92356,714032
ODISHA,Ganjam,900744,103108,497920,331087,1832859
ODISHA,Gajapati,170371,20583,102979,70303,364236
ODISHA,Kandhamal,167112,39250,148987,115868,471217
ODISHA,Baudh,123724,14245,81488,51314,270771
ODISHA,Subarnapur,170218,18269,98174,64610,351271
ODISHA,Balangir,402227,60300,258074,180213,900814
ODISHA,Nuapada,151694,26958,126786,90187,395625
ODISHA,Kalahandi,376757,65420,309753,235473,987403
ODISHA,Rayagada  ,227815,32641,206666,144144,611266
ODISHA,Nabarangapur ,279115,55741,276050,178304,789210
ODISHA,Koraput,396460,46235,250711,160387,853793
ODISHA,Malkangiri  ,179030,20831,110805,56968,367634
