State,District,Total Main Worker,Total Marginal Workers (<3 months),Total Marginal Workers (3 - 6 months),Total Workers Seeking/Available for Work,Total Working Population
PUNJAB,Gurdaspur,625778,23234,108126,71147,828285
PUNJAB,Kapurthala ,248208,4968,30989,17254,301419
PUNJAB,Jalandhar,689592,14231,70649,36119,810591
PUNJAB,Hoshiarpur,411011,21220,67591,45721,545543
PUNJAB,Shahid Bhagat Singh Nagar ,173507,5482,25340,15493,219822
PUNJAB,Fatehgarh Sahib,192845,4477,17461,10362,225145
PUNJAB,Ludhiana,1138654,21513,124655,56650,1341472
PUNJAB,Moga,304880,10921,43371,25643,384815
PUNJAB,Firozpur,618362,46992,91341,68230,824925
PUNJAB,Muktsar,287205,12647,35474,23414,358740
PUNJAB,Faridkot,190415,6894,24246,17256,238811
PUNJAB,Bathinda,452678,20775,76533,41318,591304
PUNJAB,Mansa,247175,21649,59688,30448,358960
PUNJAB,Patiala,570391,18499,71377,44003,704270
PUNJAB,Amritsar ,787254,18754,111848,59916,977772
PUNJAB,Tarn Taran,316310,11470,52922,33127,413829
PUNJAB,Rupnagar,194209,7424,32043,17262,250938
PUNJAB,Sahibzada Ajit Singh Nagar,316236,6559,33200,17352,373347
PUNJAB,Sangrur,499792,12660,56306,31153,599911
PUNJAB,Barnala,186434,5642,17255,12069,221400
