State,District,Total Main Worker,Total Marginal Workers (<3 months),Total Marginal Workers (3 - 6 months),Total Workers Seeking/Available for Work,Total Working Population
RAJASTHAN,Ganganagar ,680563,52176,179933,78904,991576
RAJASTHAN,Hanumangarh,642109,35628,157523,56587,891847
RAJASTHAN,Bikaner,752768,43490,189950,83000,1069208
RAJASTHAN,Churu,628381,58977,215471,87308,990137
RAJASTHAN,Jhunjhunun,592813,89219,212617,81827,976476
RAJASTHAN,Alwar,1179461,128495,400586,135568,1844110
RAJASTHAN,Bharatpur,694929,76730,299495,122672,1193826
RAJASTHAN,Dhaulpur,317617,65277,140318,53978,577190
RAJASTHAN,Karauli,438337,36665,153724,70056,698782
RAJASTHAN,Sawai Madhopur,418555,28072,131441,63477,641545
RAJASTHAN,Dausa,506214,36482,141799,71632,756127
RAJASTHAN,Jaipur,2060010,82172,322711,163594,2628487
RAJASTHAN,Sikar,698711,73944,233849,104935,1111439
RAJASTHAN,Nagaur,985927,68702,371253,199055,1624937
RAJASTHAN,Jodhpur,1056479,69240,364022,192586,1682327
RAJASTHAN,Jaisalmer,175383,19669,93851,57619,346522
RAJASTHAN,Barmer,741367,74026,387089,220670,1423152
RAJASTHAN,Jalor,660719,48357,187568,75927,972571
RAJASTHAN,Sirohi,313292,20311,86226,53090,472919
RAJASTHAN,Pali,605288,39731,197308,118189,960516
RAJASTHAN,Ajmer,827181,34563,191978,99081,1152803
RAJASTHAN,Tonk,495797,27023,126341,77733,726894
RAJASTHAN,Bundi,361070,38380,126641,80791,606882
RAJASTHAN,Bhilwara,883329,40843,223993,109028,1257193
RAJASTHAN,Rajsamand,362584,35958,152289,82208,633039
RAJASTHAN,Dungarpur,216411,130433,294671,288185,929700
RAJASTHAN,Banswara,542983,81038,292553,199350,1115924
RAJASTHAN,Chittaurgarh,656904,23798,122053,49431,852186
RAJASTHAN,Kota,577548,31192,140071,80209,829020
RAJASTHAN,Baran,359785,34639,158159,95301,647884
RAJASTHAN,Jhalawar,475653,37828,172469,82864,768814
RAJASTHAN,Udaipur,822355,116341,427087,268321,1634104
RAJASTHAN,Pratapgarh,327445,33638,120211,59271,540565
