State,District,Total Main Worker,Total Marginal Workers (<3 months),Total Marginal Workers (3 - 6 months),Total Workers Seeking/Available for Work,Total Working Population
TAMIL NADU,Thiruvallur,1247918,45263,244873,101159,1639213
TAMIL NADU,Chennai,1619554,22028,175715,72376,1889673
TAMIL NADU,Kancheepuram,1367378,45263,261173,102238,1776052
TAMIL NADU,Vellore,1360185,58471,270674,101471,1790801
TAMIL NADU,Tiruvannamalai,970072,38674,229431,88170,1326347
TAMIL NADU,Viluppuram,1260802,65823,376624,141808,1845057
TAMIL NADU,Salem,1561030,20103,113027,34184,1728344
TAMIL NADU,Namakkal   ,839152,6788,52305,14185,912430
TAMIL NADU,Erode,1111051,11343,73379,21336,1217109
TAMIL NADU,The Nilgiris,318924,4249,26801,12886,362860
TAMIL NADU,Dindigul,963017,19111,123027,48607,1153762
TAMIL NADU,Karur ,508507,5069,29722,9975,553273
TAMIL NADU,Tiruchirappalli,1082329,18332,113318,40563,1254542
TAMIL NADU,Perambalur  ,255097,4480,40149,15503,315229
TAMIL NADU,Ariyalur  ,272241,14539,73071,35044,394895
TAMIL NADU,Cuddalore,837271,52483,280126,115415,1285295
TAMIL NADU,Nagapattinam  ,486328,27449,158217,67245,739239
TAMIL NADU,Thiruvarur,412425,16453,111290,44602,584770
TAMIL NADU,Thanjavur,834484,18832,120763,50046,1024125
TAMIL NADU,Pudukkottai,640248,16927,104518,45091,806784
TAMIL NADU,Sivaganga,461102,22354,136715,56061,676232
TAMIL NADU,Madurai,1173902,25661,155069,60643,1415275
TAMIL NADU,Theni  ,530591,8310,52741,20536,612178
TAMIL NADU,Virudhunagar,854066,14501,81591,26460,976618
TAMIL NADU,Ramanathapuram,486150,13670,103157,44264,647241
TAMIL NADU,Thoothukkudi,657447,10100,80548,27871,775966
TAMIL NADU,Tirunelveli ,1271407,27580,137467,47997,1484451
TAMIL NADU,Kanniyakumari,552658,24146,102816,48178,727798
TAMIL NADU,Dharmapuri,652996,15881,82293,35060,786230
TAMIL NADU,Krishnagiri,742001,20241,115537,38764,916543
TAMIL NADU,Coimbatore,1443252,16542,108156,35310,1603260
TAMIL NADU,Tiruppur,1168596,12489,85052,22369,1288506
