State,District,Total Main Worker,Total Marginal Workers (<3 months),Total Marginal Workers (3 - 6 months),Total Workers Seeking/Available for Work,Total Working Population
UTTAR PRADESH,Saharanpur,882701,27789,126854,67830,1105174
UTTAR PRADESH,Muzaffarnagar,1085491,34058,172095,65644,1357288
UTTAR PRADESH,Bijnor,839778,42393,205865,107571,1195607
UTTAR PRADESH,Moradabad,1104968,52753,260090,130797,1548608
UTTAR PRADESH,Rampur,564266,37154,135841,73465,810726
UTTAR PRADESH,Jyotiba Phule Nagar,453567,27202,118320,49430,648519
UTTAR PRADESH,Meerut,890810,29093,170636,71220,1161759
UTTAR PRADESH,Baghpat,334519,12606,69570,28917,445612
UTTAR PRADESH,Ghaziabad,1252911,34204,233423,98024,1618562
UTTAR PRADESH,Gautam Buddha Nagar,458492,15311,95306,38627,607736
UTTAR PRADESH,Bulandshahr ,885216,47500,240544,101888,1275148
UTTAR PRADESH,Aligarh,865799,52915,255647,118388,1292749
UTTAR PRADESH,Mahamaya Nagar,337295,27648,119172,70586,554701
UTTAR PRADESH,Mathura,594799,46511,199629,87897,928836
UTTAR PRADESH,Agra,1050562,54829,284453,132081,1521925
UTTAR PRADESH,Firozabad,573649,30739,157133,77210,838731
UTTAR PRADESH,Mainpuri,424782,26239,109819,55633,616473
UTTAR PRADESH,Budaun,875763,43302,188278,96926,1204269
UTTAR PRADESH,Bareilly,1043912,55052,303007,168256,1570227
UTTAR PRADESH,Pilibhit,463415,27767,127423,88030,706635
UTTAR PRADESH,Shahjahanpur,699503,33138,159573,101770,993984
UTTAR PRADESH,Kheri,958249,52022,254447,145633,1410351
UTTAR PRADESH,Sitapur,1023642,73704,325256,200400,1623002
UTTAR PRADESH,Hardoi,969871,67572,281503,160598,1479544
UTTAR PRADESH,Unnao,761831,68807,294106,148928,1273672
UTTAR PRADESH,Lucknow,1152285,59900,330621,196776,1739582
UTTAR PRADESH,Rae Bareli,644869,130417,429424,298181,1502891
UTTAR PRADESH,Farrukhabad,474686,18908,98673,44307,636574
UTTAR PRADESH,Kannauj,419027,19788,85861,43854,568530
UTTAR PRADESH,Etawah,361588,26572,117912,68858,574930
UTTAR PRADESH,Auraiya,325721,20955,95347,56741,498764
UTTAR PRADESH,Kanpur Dehat,448651,35161,145052,82867,711731
UTTAR PRADESH,Kanpur Nagar,1229166,63243,279823,169258,1741490
UTTAR PRADESH,Jalaun ,420266,38379,162119,92834,713598
UTTAR PRADESH,Jhansi,560041,38450,216423,105587,920501
UTTAR PRADESH,Lalitpur,357033,23112,123206,49363,552714
UTTAR PRADESH,Hamirpur,290375,25351,127929,67434,511089
UTTAR PRADESH,Mahoba,238712,17998,92966,48626,398302
UTTAR PRADESH,Banda,483232,36648,181809,96540,798229
UTTAR PRADESH,Chitrakoot,282614,19501,92082,40643,434840
UTTAR PRADESH,Fatehpur,670156,77890,315883,164521,1228450
UTTAR PRADESH,Pratapgarh,553013,131307,382281,233512,1300113
UTTAR PRADESH,Kaushambi,415312,45023,178751,101425,740511
UTTAR PRADESH,Allahabad ,1286732,161557,663618,363576,2475483
UTTAR PRADESH,Bara Banki,834294,68990,289566,157890,1350740
UTTAR PRADESH,Faizabad,496579,76087,258543,154881,986090
UTTAR PRADESH,Ambedkar Nagar,440998,80247,266153,160392,947790
UTTAR PRADESH,Sultanpur,690967,134714,416951,262373,1505005
UTTAR PRADESH,Bahraich,743452,79325,329383,191250,1343410
UTTAR PRADESH,Shrawasti,232762,34956,136037,80677,484432
UTTAR PRADESH,Balrampur,458727,55503,246023,139665,899918
UTTAR PRADESH,Gonda,739663,89298,341591,196810,1367362
UTTAR PRADESH,Siddharthnagar,447943,101386,329569,205393,1084291
UTTAR PRADESH,Basti,443724,80731,259233,158868,942556
UTTAR PRADESH,Sant Kabir Nagar,265453,65576,208440,130160,669629
UTTAR PRADESH,Mahrajganj,439293,118681,436279,254480,1248733
UTTAR PRADESH,Gorakhpur,746381,144690,460558,295002,1646631
UTTAR PRADESH,Kushinagar,523258,141260,452455,280041,1397014
UTTAR PRADESH,Deoria,455382,113280,307584,189614,1065860
UTTAR PRADESH,Azamgarh,784272,149855,437905,252743,1624775
UTTAR PRADESH,Mau,396438,69204,231105,131300,828047
UTTAR PRADESH,Ballia,569522,88435,361526,204484,1223967
UTTAR PRADESH,Jaunpur,896547,125744,415084,203065,1640440
UTTAR PRADESH,Ghazipur,766881,98807,338914,175897,1380499
UTTAR PRADESH,Chandauli,341927,67808,242808,154786,807329
UTTAR PRADESH,Varanasi,920761,58727,241220,121652,1342360
UTTAR PRADESH,Sant Ravidas Nagar (Bhadohi),286978,46434,137196,77737,548345
UTTAR PRADESH,Mirzapur,537091,69065,275840,160955,1042951
UTTAR PRADESH,Sonbhadra,397196,72490,260713,153947,884346
UTTAR PRADESH,Etah,415476,25372,105136,54477,600461
UTTAR PRADESH,Kanshiram Nagar,354257,26941,91567,37184,509949
