State,District,Total Main Worker,Total Marginal Workers (<3 months),Total Marginal Workers (3 - 6 months),Total Workers Seeking/Available for Work,Total Working Population
UTTARAKHAND,Uttarkashi,128367,6764,22145,12018,169294
UTTARAKHAND,Chamoli,115115,16733,49092,27828,208768
UTTARAKHAND,Rudraprayag,78950,7452,26630,14095,127127
UTTARAKHAND,Tehri Garhwal,165912,32805,81725,55665,336107
UTTARAKHAND,Dehradun,488161,16508,78099,43859,626627
UTTARAKHAND,Garhwal,164439,33137,76576,52093,326245
UTTARAKHAND,Pithoragarh,145481,17668,53341,30496,246986
UTTARAKHAND,Bageshwar,78085,9972,35581,21385,145023
UTTARAKHAND,"Almora
",201078,28839,68294,38881,337092
UTTARAKHAND,Champawat,62698,9347,27521,17636,117202
UTTARAKHAND,Nainital,296424,20952,58805,31082,407263
UTTARAKHAND,Udham Singh Nagar,450762,31927,108769,57822,649280
UTTARAKHAND,Hardwar,495152,12707,70262,38827,616948
