State,District,Total Main Worker,Total Marginal Workers (<3 months),Total Marginal Workers (3 - 6 months),Total Workers Seeking/Available for Work,Total Working Population
WEST BENGAL,Darjiling ,532855,38118,112753,85723,769449
WEST BENGAL,Jalpaiguri ,1153765,83107,276038,253987,1766897
WEST BENGAL,Koch Bihar ,886357,38047,203573,145510,1273487
WEST BENGAL,Uttar Dinajpur,824342,43084,208200,162199,1237825
WEST BENGAL,Dakshin Dinajpur,526470,31507,145010,121769,824756
WEST BENGAL,Maldah ,1050995,91951,394901,336208,1874055
WEST BENGAL,Murshidabad ,2022083,93775,474049,358097,2948004
WEST BENGAL,Birbhum,912844,97238,321521,284691,1616294
WEST BENGAL,Barddhaman ,2166742,137556,606953,525577,3436828
WEST BENGAL,Nadia ,1595880,37296,209431,161375,2003982
WEST BENGAL,North Twenty Four Parganas,3055630,154588,361406,316650,3888274
WEST BENGAL,Hugli ,1714645,83125,355100,288934,2441804
WEST BENGAL,Bankura ,916393,141527,408300,381688,1847908
WEST BENGAL,Puruliya,613398,163421,472823,457183,1706825
WEST BENGAL,Haora ,1496267,60742,262836,203614,2023459
WEST BENGAL,Kolkata,1576419,18631,200690,140212,1935952
WEST BENGAL,South Twenty Four Parganas,2003685,224487,736322,674100,3638594
WEST BENGAL,Paschim Medinipur,1510548,259384,739227,643155,3152314
WEST BENGAL,Purba Medinipur,1127312,223847,559161,549837,2460157
